,0
245,144309
246,144016
247,128049
248,118254
249,123067
250,131035
251,135517
252,133189
253,131425
254,128495
255,126082
256,126870
257,129276
258,130416
259,129849
260,128456
261,127598
262,127165
263,127298
264,127783
265,127993
266,127668
267,127114
268,126698
269,126544
270,126520
271,126525
272,126457
273,126245
274,125980
275,125748
276,125615
277,125524
278,125422
279,125281
