,date,state,checkins,unique_ind,unique_loc
0,2020-12-01,Johor,1996696,868521,81635
1,2020-12-01,Kedah,654634,341620,32760
2,2020-12-01,Kelantan,186507,108035,16298
3,2020-12-01,Melaka,544619,241854,21458
4,2020-12-01,Negeri Sembilan,559390,266899,22749
5,2020-12-01,Pahang,628093,277410,26868
6,2020-12-01,Perak,1073601,477057,49739
7,2020-12-01,Perlis,149180,96122,7814
8,2020-12-01,Pulau Pinang,1192308,534058,43889
9,2020-12-01,Sabah,740636,308227,31463
10,2020-12-01,Sarawak,1287449,490577,37417
11,2020-12-01,Selangor,3926511,1888361,124858
12,2020-12-01,Terengganu,232768,125760,14836
13,2020-12-01,W.P. KualaLumpur,3426041,1538584,86205
14,2020-12-01,W.P. Labuan,53217,22809,1784
15,2020-12-01,W.P. Putrajaya,177083,104171,2334
16,2020-12-02,Johor,1975256,864635,83484
17,2020-12-02,Kedah,688360,353075,34460
18,2020-12-02,Kelantan,201342,113792,17147
19,2020-12-02,Melaka,545887,242475,21881
20,2020-12-02,Negeri Sembilan,561590,268039,23278
21,2020-12-02,Pahang,630934,278719,27562
22,2020-12-02,Perak,1085104,480864,50358
23,2020-12-02,Perlis,158866,99727,8259
24,2020-12-02,Pulau Pinang,1204862,537274,45164
25,2020-12-02,Sabah,758731,312903,32825
26,2020-12-02,Sarawak,1324152,500135,38035
27,2020-12-02,Selangor,3974328,1903749,129248
28,2020-12-02,Terengganu,217523,119675,14721
29,2020-12-02,W.P. KualaLumpur,3455908,1544722,89499
30,2020-12-02,W.P. Labuan,53562,22838,1787
31,2020-12-02,W.P. Putrajaya,177019,104352,2420
32,2020-12-03,Johor,1870470,841031,83370
33,2020-12-03,Kedah,674565,348146,34481
34,2020-12-03,Kelantan,164364,97043,15023
35,2020-12-03,Melaka,527563,237907,22072
36,2020-12-03,Negeri Sembilan,534832,262182,23168
37,2020-12-03,Pahang,627312,279800,27556
38,2020-12-03,Perak,1063208,478124,50521
39,2020-12-03,Perlis,158714,100259,8228
40,2020-12-03,Pulau Pinang,1129316,521393,44934
41,2020-12-03,Sabah,743625,310332,32972
42,2020-12-03,Sarawak,1274706,492475,37813
43,2020-12-03,Selangor,3876525,1880515,130314
44,2020-12-03,Terengganu,168587,99458,12130
45,2020-12-03,W.P. KualaLumpur,3373169,1526686,90411
46,2020-12-03,W.P. Labuan,52735,22721,1772
47,2020-12-03,W.P. Putrajaya,173618,101719,2418
48,2020-12-04,Johor,2031469,883179,80241
49,2020-12-04,Kedah,674162,343898,25462
50,2020-12-04,Kelantan,164019,98726,9428
51,2020-12-04,Melaka,582972,256683,21979
52,2020-12-04,Negeri Sembilan,594932,284372,23308
53,2020-12-04,Pahang,677057,296630,26916
54,2020-12-04,Perak,1059563,483833,49578
55,2020-12-04,Perlis,169860,105729,8017
56,2020-12-04,Pulau Pinang,1236718,550869,45157
57,2020-12-04,Sabah,769607,317892,32980
58,2020-12-04,Sarawak,1350621,509621,38195
59,2020-12-04,Selangor,4187530,1983724,130590
60,2020-12-04,Terengganu,189604,109294,7526
61,2020-12-04,W.P. KualaLumpur,3718459,1627479,91031
62,2020-12-04,W.P. Labuan,52603,22944,1774
63,2020-12-04,W.P. Putrajaya,200829,113996,2423
64,2020-12-05,Johor,2210008,905459,76118
65,2020-12-05,Kedah,731091,363471,31046
66,2020-12-05,Kelantan,207482,116080,15558
67,2020-12-05,Melaka,634724,267041,19794
68,2020-12-05,Negeri Sembilan,627448,285249,21028
69,2020-12-05,Pahang,682223,290579,24066
70,2020-12-05,Perak,1138102,496653,46280
71,2020-12-05,Perlis,164804,99061,7127
72,2020-12-05,Pulau Pinang,1351212,555440,40164
73,2020-12-05,Sabah,777053,307847,29022
74,2020-12-05,Sarawak,1437010,504648,32914
75,2020-12-05,Selangor,4595822,2048138,112326
76,2020-12-05,Terengganu,240941,127297,12566
77,2020-12-05,W.P. KualaLumpur,3874221,1619744,75347
78,2020-12-05,W.P. Labuan,53935,22791,1502
79,2020-12-05,W.P. Putrajaya,212102,117401,1757
80,2020-12-06,Johor,2212105,900358,63536
81,2020-12-06,Kedah,742227,370282,31436
82,2020-12-06,Kelantan,219001,123206,17434
83,2020-12-06,Melaka,581318,248213,14196
84,2020-12-06,Negeri Sembilan,567868,263960,15228
85,2020-12-06,Pahang,615515,270257,17521
86,2020-12-06,Perak,1015143,461134,31829
87,2020-12-06,Perlis,136478,82688,4815
88,2020-12-06,Pulau Pinang,1196844,509617,27436
89,2020-12-06,Sabah,730460,288743,21150
90,2020-12-06,Sarawak,1426606,497969,24109
91,2020-12-06,Selangor,4258686,1919658,79280
92,2020-12-06,Terengganu,247572,132720,14878
93,2020-12-06,W.P. KualaLumpur,3551865,1525309,55158
94,2020-12-06,W.P. Labuan,46252,20304,1080
95,2020-12-06,W.P. Putrajaya,223550,124585,1495
96,2020-12-07,Johor,1972647,873792,82788
97,2020-12-07,Kedah,689591,359572,34078
98,2020-12-07,Kelantan,218873,122876,17617
99,2020-12-07,Melaka,547029,245575,21697
100,2020-12-07,Negeri Sembilan,578978,282711,22959
101,2020-12-07,Pahang,655591,291502,27521
102,2020-12-07,Perak,1107823,503464,49655
103,2020-12-07,Perlis,167015,105635,8292
104,2020-12-07,Pulau Pinang,1263645,562739,45308
105,2020-12-07,Sabah,773999,322323,33091
106,2020-12-07,Sarawak,1267549,491913,37133
107,2020-12-07,Selangor,3910991,1912166,127963
108,2020-12-07,Terengganu,233131,127143,14809
109,2020-12-07,W.P. KualaLumpur,3386392,1548177,88815
110,2020-12-07,W.P. Labuan,53894,23662,1775
111,2020-12-07,W.P. Putrajaya,194620,112877,2529
112,2020-12-08,Johor,1998490,878407,84396
113,2020-12-08,Kedah,681741,357260,34133
114,2020-12-08,Kelantan,212496,120892,17401
115,2020-12-08,Melaka,540064,245020,21880
116,2020-12-08,Negeri Sembilan,578960,282737,23379
117,2020-12-08,Pahang,658988,293817,28024
118,2020-12-08,Perak,1115626,506744,50722
119,2020-12-08,Perlis,166616,106047,8375
120,2020-12-08,Pulau Pinang,1260515,565600,46089
121,2020-12-08,Sabah,782188,322558,33655
122,2020-12-08,Sarawak,1257341,488737,37752
123,2020-12-08,Selangor,4069890,1962738,131822
124,2020-12-08,Terengganu,222925,123002,14545
125,2020-12-08,W.P. KualaLumpur,3539330,1586870,91837
126,2020-12-08,W.P. Labuan,54004,23481,1880
127,2020-12-08,W.P. Putrajaya,196698,114585,2526
128,2020-12-09,Johor,1987412,871995,85042
129,2020-12-09,Kedah,687783,359440,34494
130,2020-12-09,Kelantan,219745,123894,17587
131,2020-12-09,Melaka,547770,247009,21989
132,2020-12-09,Negeri Sembilan,572301,280271,23514
133,2020-12-09,Pahang,664780,294904,28220
134,2020-12-09,Perak,1128435,509178,51082
135,2020-12-09,Perlis,163946,103874,8504
136,2020-12-09,Pulau Pinang,1286818,570675,46379
137,2020-12-09,Sabah,799183,325907,34111
138,2020-12-09,Sarawak,1287249,491454,38202
139,2020-12-09,Selangor,4055363,1946983,132201
140,2020-12-09,Terengganu,232437,126661,14901
141,2020-12-09,W.P. KualaLumpur,3497276,1562616,91911
142,2020-12-09,W.P. Labuan,53798,23590,1863
143,2020-12-09,W.P. Putrajaya,192952,112374,2536
144,2020-12-10,Johor,1912930,860874,84061
145,2020-12-10,Kedah,687416,359102,34613
146,2020-12-10,Kelantan,228916,129022,17700
147,2020-12-10,Melaka,530931,244566,22010
148,2020-12-10,Negeri Sembilan,564855,283650,23418
149,2020-12-10,Pahang,656881,299468,28302
150,2020-12-10,Perak,1079452,507203,50277
151,2020-12-10,Perlis,169241,107337,8450
152,2020-12-10,Pulau Pinang,1259514,567613,46543
153,2020-12-10,Sabah,763214,318514,33819
154,2020-12-10,Sarawak,1231304,483753,37990
155,2020-12-10,Selangor,4033037,1955389,132086
156,2020-12-10,Terengganu,238569,131004,14810
157,2020-12-10,W.P. KualaLumpur,3454783,1567658,91668
158,2020-12-10,W.P. Labuan,52345,23023,1804
159,2020-12-10,W.P. Putrajaya,194437,112468,2531
160,2020-12-11,Johor,2077343,907446,80729
161,2020-12-11,Kedah,662919,349353,25233
162,2020-12-11,Kelantan,188954,113302,9877
163,2020-12-11,Melaka,642532,284279,22202
164,2020-12-11,Negeri Sembilan,671519,328666,23682
165,2020-12-11,Pahang,799853,349964,28471
166,2020-12-11,Perak,1248393,572833,50991
167,2020-12-11,Perlis,187102,115863,8098
168,2020-12-11,Pulau Pinang,1370275,600295,46113
169,2020-12-11,Sabah,806060,332353,33986
170,2020-12-11,Sarawak,1303164,499425,38067
171,2020-12-11,Selangor,3914112,1853873,94433
172,2020-12-11,Terengganu,191003,112919,7915
173,2020-12-11,W.P. KualaLumpur,4043566,1692108,87781
174,2020-12-11,W.P. Labuan,54630,23870,1827
175,2020-12-11,W.P. Putrajaya,248189,132826,2459
176,2020-12-12,Johor,2130241,898339,75079
177,2020-12-12,Kedah,706175,372970,30107
178,2020-12-12,Kelantan,246501,134775,15484
179,2020-12-12,Melaka,693162,298124,19892
180,2020-12-12,Negeri Sembilan,643634,314725,20908
181,2020-12-12,Pahang,783478,340437,24927
182,2020-12-12,Perak,1268543,570239,46260
183,2020-12-12,Perlis,182117,110064,7107
184,2020-12-12,Pulau Pinang,1409137,585088,39730
185,2020-12-12,Sabah,820302,323712,29995
186,2020-12-12,Sarawak,1536041,527307,33410
187,2020-12-12,Selangor,4289209,1961924,108648
188,2020-12-12,Terengganu,238710,130615,12269
189,2020-12-12,W.P. KualaLumpur,3761950,1572635,74591
190,2020-12-12,W.P. Labuan,53435,22906,1546
191,2020-12-12,W.P. Putrajaya,207512,113136,1714
192,2020-12-13,Johor,2248581,926770,63602
193,2020-12-13,Kedah,785808,404255,31246
194,2020-12-13,Kelantan,243555,137111,17533
195,2020-12-13,Melaka,625590,277245,14431
196,2020-12-13,Negeri Sembilan,624166,309842,15472
197,2020-12-13,Pahang,691628,316228,18006
198,2020-12-13,Perak,1199392,553346,32459
199,2020-12-13,Perlis,159394,96678,4775
200,2020-12-13,Pulau Pinang,1319162,553481,27727
201,2020-12-13,Sabah,755786,300773,21967
202,2020-12-13,Sarawak,1421554,499168,24539
203,2020-12-13,Selangor,4086857,1903175,78603
204,2020-12-13,Terengganu,244926,135213,14515
205,2020-12-13,W.P. KualaLumpur,3546738,1517257,55441
206,2020-12-13,W.P. Labuan,45060,20752,1141
207,2020-12-13,W.P. Putrajaya,215644,119758,1522
208,2020-12-14,Johor,1849711,840606,81031
209,2020-12-14,Kedah,680114,358193,33809
210,2020-12-14,Kelantan,225144,127413,17353
211,2020-12-14,Melaka,522559,241572,21166
212,2020-12-14,Negeri Sembilan,545333,276591,22436
213,2020-12-14,Pahang,669222,301799,27768
214,2020-12-14,Perak,1133043,520721,49303
215,2020-12-14,Perlis,167336,105489,8123
216,2020-12-14,Pulau Pinang,1231328,559351,44901
217,2020-12-14,Sabah,778074,325361,33842
218,2020-12-14,Sarawak,1231812,482143,36895
